	node	cl	pval	padj	-Log10(P-Adj)
12	M	G-0	6.653233519671176e-12	4.805113097540293e-11	-4.8051130974248477e-11
11	L	G-0	1.6233903110673964e-11	8.116951555336982e-11	-8.116951555007557e-11
10	K	G-0	0.0	0.0	-0.0
9	J	G-0	4.365519057358824e-11	1.8917249248554904e-10	-1.8917249246765594e-10
8	I	G-0	0.0	0.0	-0.0
20	H	G-1	0.0	0.0	-0.0
19	G	G-1	4.1744385725905886e-12	3.391731340229853e-11	-3.391731340172334e-11
32	G	G-2	1.990552167541182e-11	9.241849349298344e-11	-9.241849348871285e-11
31	F	G-2	1.091926549179334e-11	6.45229324515061e-11	-6.45229324494245e-11
44	F	G-3	2.0102219888684658e-10	8.166526829778142e-10	-8.166526826443534e-10
43	E	G-3	0.0	0.0	-0.0
29	D	G-2	1.521427428485822e-11	8.116951555336982e-11	-8.116951555007557e-11
15	C	G-1	2.4701352074885108e-12	2.675979808112553e-11	-2.6759798080767488e-11
28	C	G-2	0.0	0.0	-0.0
14	B	G-1	2.4267806339461906e-05	9.278867129794257e-05	-9.27843666954588e-05
27	B	G-2	1.0845324638353304e-11	6.45229324515061e-11	-6.45229324494245e-11
26	A	G-2	3.8753444897565714e-12	3.391731340229853e-11	-3.391731340172334e-11
